"","plant.id","species","treatment","blooming","date","percent.cover","rich","perennial","X","uniID","abun","H","Simpson","Species","Even"
"4.11.2017 187 open","187","larrea","open","pre","4.11.2017",2,5,"","","4.11.2017 187 open",14,1.72982013037992,0.785714285714286,7,0.888951697600068
"4.11.2017 187 shrub","187","larrea","shrub","pre","4.11.2017",20,5,"","","4.11.2017 187 shrub",12,1.31437384300695,0.666666666666667,5,0.816666385731586
"4.11.2017 193 open","193","larrea","open","pre","4.11.2017",1,4,"","","4.11.2017 193 open",17,1.82387331598544,0.823529411764706,7,0.937285473777337
"4.11.2017 193 shrub","193","larrea","shrub","pre","4.11.2017",35,4,"","","4.11.2017 193 shrub",20,2.19447439078904,0.865,11,0.915166903110019
"4.11.2017 197 open","197","larrea","open","pre","4.11.2017",5,4,"","","4.11.2017 197 open",13,1.62602069242075,0.769230769230769,6,0.90749942743224
"4.11.2017 197 shrub","197","larrea","shrub","pre","4.11.2017",40,3,"","","4.11.2017 197 shrub",8,1.90615474653985,0.84375,7,0.979569764547061
"4.11.2017 266 open","266","larrea","open","pre","4.11.2017",1,4,"","","4.11.2017 266 open",24,1.21413681876143,0.534722222222222,7,0.623942898571583
"4.11.2017 266 shrub","266","larrea","shrub","pre","4.11.2017",15,3,"","","4.11.2017 266 shrub",16,2.22002532783454,0.8828125,10,0.964144749563997
"4.11.2017 273 open","273","larrea","open","pre","4.11.2017",5,3,"","","4.11.2017 273 open",14,1.56915294620312,0.755102040816326,6,0.875760933960158
"4.11.2017 273 shrub","273","larrea","shrub","pre","4.11.2017",20,3,"","","4.11.2017 273 shrub",20,2.12169859928095,0.845,11,0.884817040739607
"4.11.2017 288 open","288","larrea","open","pre","4.11.2017",1,5,"","","4.11.2017 288 open",15,2.08376603748565,0.862222222222222,9,0.948362793216102
"4.11.2017 288 shrub","288","larrea","shrub","pre","4.11.2017",25,5,"","","4.11.2017 288 shrub",27,2.32352329834126,0.888888888888889,12,0.935054561723473
"4.12.2017 180 open","180","larrea","open","pre","4.12.2017",5,6,"","","4.12.2017 180 open",26,1.90345383879445,0.816568047337278,9,0.866299175072071
"4.12.2017 180 shrub","180","larrea","shrub","pre","4.12.2017",30,6,"","","4.12.2017 180 shrub",21,1.99980161819454,0.820861678004535,10,0.868502807683082
"4.12.2017 191 open","191","larrea","open","pre","4.12.2017",2,4,"","","4.12.2017 191 open",20,1.3661588475692,0.61,7,0.702066767179582
"4.12.2017 191 shrub","191","larrea","shrub","pre","4.12.2017",40,4,"","","4.12.2017 191 shrub",15,1.89892678933633,0.791111111111111,9,0.864238826073242
"4.12.2017 196 open","196","larrea","open","pre","4.12.2017",2,4,"","","4.12.2017 196 open",18,2.02915456281091,0.845679012345679,9,0.923508039979662
"4.12.2017 196 shrub","196","larrea","shrub","pre","4.12.2017",30,5,"","","4.12.2017 196 shrub",12,1.82007597536062,0.819444444444444,7,0.93533402672483
"4.12.2017 198 open","198","larrea","open","pre","4.12.2017",2,3,"","","4.12.2017 198 open",12,1.6987829895138,0.763888888888889,7,0.873001762357072
"4.12.2017 198 shrub","198","larrea","shrub","pre","4.12.2017",20,6,"1","","4.12.2017 198 shrub",20,2.08055716002842,0.825,11,0.86765972794149
"4.12.2017 265 open","265","larrea","open","pre","4.12.2017",2,5,"","","4.12.2017 265 open",12,1.58902691517397,0.708333333333333,7,0.816598297688823
"4.12.2017 265 shrub","265","larrea","shrub","pre","4.12.2017",10,5,"","","4.12.2017 265 shrub",16,1.92739212613927,0.8359375,8,0.926879687409856
"4.12.2017 289 open","289","larrea","open","pre","4.12.2017",1,4,"","","4.12.2017 289 open",18,1.90803683450907,0.808641975308642,9,0.868384986309525
"4.12.2017 289 shrub","289","larrea","shrub","pre","4.12.2017",25,4,"","","4.12.2017 289 shrub",14,2.34199425223242,0.897959183673469,11,0.976687463710328
"4.13.2017 190 open","190","larrea","open","pre","4.13.2017",5,5,"","","4.13.2017 190 open",32,1.66887198206222,0.736328125,9,0.759536371145755
"4.13.2017 190 shrub","190","larrea","shrub","pre","4.13.2017",40,5,"","","4.13.2017 190 shrub",16,2.01403552370927,0.8125,10,0.874684514304061
"4.13.2017 267 open","267","larrea","open","pre","4.13.2017",2,4,"","","4.13.2017 267 open",23,1.06343958889259,0.491493383742911,6,0.593516935256245
"4.13.2017 267 shrub","267","larrea","shrub","pre","4.13.2017",40,3,"","","4.13.2017 267 shrub",22,2.15682232385892,0.847107438016529,11,0.899464771596087
"4.13.2017 272 open","272","larrea","open","pre","4.13.2017",5,6,"","","4.13.2017 272 open",13,1.26362567212373,0.63905325443787,5,0.785134774296842
"4.13.2017 272 shrub","272","larrea","shrub","pre","4.13.2017",25,6,"","","4.13.2017 272 shrub",13,1.92512119079082,0.828402366863905,8,0.925787598354723
"4.13.2017 284 open","284","larrea","open","pre","4.13.2017",1,3,"","","4.13.2017 284 open",10,1.69574253416963,0.8,6,0.946411928215015
"4.13.2017 284 shrub","284","larrea","shrub","pre","4.13.2017",15,3,"","","4.13.2017 284 shrub",6,1.56071040904141,0.777777777777778,5,0.969723899868247
"4.13.2017 293 open","293","larrea","open","pre","4.13.2017",10,6,"","","4.13.2017 293 open",13,1.52470739303014,0.769230769230769,5,0.947353968270941
"4.13.2017 293 shrub","293","larrea","shrub","pre","4.13.2017",40,4,"","","4.13.2017 293 shrub",23,2.01557151071718,0.839319470699433,9,0.917326126563144
"4.13.2017 294 open","294","larrea","open","pre","4.13.2017",2,6,"","","4.13.2017 294 open",9,1.46481638489081,0.740740740740741,5,0.91014159264798
"4.13.2017 294 shrub","294","larrea","shrub","pre","4.13.2017",50,5,"1","","4.13.2017 294 shrub",17,2.06851349735954,0.858131487889273,9,0.941421063051859
"4.15.2017 186 open","186","larrea","open","pre","4.15.2017",8,6,"","","4.15.2017 186 open",24,0.709713102424333,0.354166666666667,4,0.511949786660753
"4.15.2017 186 shrub","186","larrea","shrub","pre","4.15.2017",20,5,"","","4.15.2017 186 shrub",41,1.8768131378929,0.80785246876859,10,0.815089589350415
"4.15.2017 199 open","199","larrea","open","pre","4.15.2017",40,7,"","","4.15.2017 199 open",31,1.81335530190522,0.797086368366285,9,0.825293563802941
"4.15.2017 199 shrub","199","larrea","shrub","pre","4.15.2017",55,4,"","","4.15.2017 199 shrub",32,1.93716387635284,0.8125,10,0.841299582042351
"4.15.2017 262 open","262","larrea","open","pre","4.15.2017",10,2,"","","4.15.2017 262 open",40,0.964694622727333,0.4225,7,0.495754967512589
"4.15.2017 262 shrub","262","larrea","shrub","pre","4.15.2017",35,4,"","","4.15.2017 262 shrub",41,1.8356942353952,0.776918500892326,11,0.765543956910564
"4.15.2017 269 open","269","larrea","open","pre","4.15.2017",10,4,"","","4.15.2017 269 open",18,1.87351052064553,0.790123456790123,9,0.852671383694816
"4.15.2017 269 shrub","269","larrea","shrub","pre","4.15.2017",55,4,"","","4.15.2017 269 shrub",23,2.3409508144607,0.888468809073724,12,0.942067910140778
"4.15.2017 276 open","276","larrea","open","pre","4.15.2017",10,5,"","","4.15.2017 276 open",20,1.46163597281342,0.72,6,0.815754568576742
"4.15.2017 276 shrub","276","larrea","shrub","pre","4.15.2017",25,7,"","","4.15.2017 276 shrub",19,1.86271040816714,0.792243767313019,9,0.847756040679911
"4.15.2017 300 open","300","larrea","open","pre","4.15.2017",2,7,"","","4.15.2017 300 open",16,1.92739212613927,0.8046875,9,0.877193959151834
"4.15.2017 300 shrub","300","larrea","shrub","pre","4.15.2017",25,5,"","","4.15.2017 300 shrub",16,2.09635257946414,0.84375,10,0.910434357384924
"4.16.2017 146 open","146","larrea","open","pre","4.16.2017",15,5,"","","4.16.2017 146 open",27,1.58940492391934,0.710562414266118,8,0.764342200567644
"4.16.2017 146 shrub","146","larrea","shrub","pre","4.16.2017",20,4,"","","4.16.2017 146 shrub",10,1.22752941145721,0.6,5,0.762706906537766
"4.16.2017 188 open","188","larrea","open","pre","4.16.2017",1,4,"","","4.16.2017 188 open",16,0.601923971732289,0.3203125,3,0.547894810517753
"4.16.2017 188 shrub","188","larrea","shrub","pre","4.16.2017",70,4,"","","4.16.2017 188 shrub",11,1.67262544615032,0.793388429752066,6,0.933510035736515
"4.16.2017 195 open","195","larrea","open","pre","4.16.2017",5,5,"","","4.16.2017 195 open",41,1.07688067553092,0.452111838191553,8,0.517870136739207
"4.16.2017 195 shrub","195","larrea","shrub","pre","4.16.2017",50,5,"1","","4.16.2017 195 shrub",18,1.79649416724998,0.783950617283951,8,0.863931075359165
"4.16.2017 268 open","268","larrea","open","pre","4.16.2017",1,5,"","","4.16.2017 268 open",56,0.735123580978416,0.290816326530612,8,0.353519714906032
"4.16.2017 268 shrub","268","larrea","shrub","pre","4.16.2017",25,3,"","","4.16.2017 268 shrub",16,2.09635257946414,0.84375,10,0.910434357384924
"4.16.2017 271 open","271","larrea","open","pre","4.16.2017",2,6,"","","4.16.2017 271 open",13,0.535961049709069,0.272189349112426,3,0.487852771389291
"4.16.2017 271 shrub","271","larrea","shrub","pre","4.16.2017",50,5,"","","4.16.2017 271 shrub",22,1.89328373369096,0.809917355371901,9,0.861670560770013
"4.16.2017 298 open","298","larrea","open","pre","4.16.2017",10,8,"","","4.16.2017 298 open",13,0.793730055158425,0.390532544378698,4,0.572555207190791
"4.16.2017 298 shrub","298","larrea","shrub","pre","4.16.2017",25,3,"","","4.16.2017 298 shrub",8,2.07944154167984,0.875,8,1
"4.17.2017 278 open","278","larrea","open","pre","4.17.2017",15,6,"","","4.17.2017 278 open",12,0.721463686692511,0.402777777777778,3,0.656704548214339
"4.17.2017 278 shrub","278","larrea","shrub","pre","4.17.2017",10,4,"","","4.17.2017 278 shrub",17,2.08442976821535,0.844290657439446,10,0.905256346250801
"4.17.2017 280 open","280","larrea","open","pre","4.17.2017",10,5,"","","4.17.2017 280 open",9,2.04319187054512,0.864197530864198,8,0.982567593073364
"4.17.2017 280 shrub","280","larrea","shrub","pre","4.17.2017",35,3,"","","4.17.2017 280 shrub",23,2.24616302709404,0.880907372400756,11,0.936722738717751
"4.17.2017 282 open","282","larrea","open","pre","4.17.2017",25,3,"","","4.17.2017 282 open",16,1.80371937776887,0.8125,7,0.926928398335623
"4.17.2017 282 shrub","282","larrea","shrub","pre","4.17.2017",20,5,"","","4.17.2017 282 shrub",14,1.45080502008392,0.642857142857143,7,0.745566294922841
"4.17.2017 291 open","291","larrea","open","pre","4.17.2017",1,6,"","","4.17.2017 291 open",14,2.16822349161464,0.86734693877551,10,0.94164749794124
"4.17.2017 291 shrub","291","larrea","shrub","pre","4.17.2017",35,3,"","","4.17.2017 291 shrub",18,1.90419119734007,0.827160493827161,8,0.915722399102311
"4.17.2017 295 open","295","larrea","open","pre","4.17.2017",5,5,"","","4.17.2017 295 open",7,1.74786809746676,0.816326530612245,6,0.975503759006108
"4.17.2017 295 shrub","295","larrea","shrub","pre","4.17.2017",40,4,"","","4.17.2017 295 shrub",13,1.67159527802125,0.792899408284024,6,0.932935087956549
"4.17.2017 299 open","299","larrea","open","pre","4.17.2017",10,5,"","","4.17.2017 299 open",11,1.54030582522652,0.727272727272727,6,0.859661049197707
"4.17.2017 299 shrub","299","larrea","shrub","pre","4.17.2017",15,3,"1","","4.17.2017 299 shrub",14,2.06920246582036,0.857142857142857,9,0.941734626111336
"4.19.2017 264 open","264","larrea","open","pre","4.19.2017",10,3,"","","4.19.2017 264 open",7,1.35178399428965,0.73469387755102,4,0.975106032457373
"4.19.2017 264 shrub","264","larrea","shrub","pre","4.19.2017",45,3,"","","4.19.2017 264 shrub",12,1.58325845942048,0.75,6,0.883633370779725
"4.19.2017 270 open","270","larrea","open","pre","4.19.2017",2,3,"","","4.19.2017 270 open",19,1.4102580990074,0.631578947368421,7,0.724729299393416
"4.19.2017 270 shrub","270","larrea","shrub","pre","4.19.2017",25,3,"","","4.19.2017 270 shrub",15,1.76700919107457,0.8,7,0.908063094245335
"4.19.2017 283 open","283","larrea","open","pre","4.19.2017",5,4,"","","4.19.2017 283 open",6,0.867563228481461,0.5,3,0.789690082142847
"4.19.2017 283 shrub","283","larrea","shrub","pre","4.19.2017",30,2,"","","4.19.2017 283 shrub",6,1.242453324894,0.666666666666667,4,0.896240625180289
"4.19.2017 286 open","286","larrea","open","pre","4.19.2017",1,4,"","","4.19.2017 286 open",8,1.66746193342929,0.78125,6,0.930628224416578
"4.19.2017 286 shrub","286","larrea","shrub","pre","4.19.2017",15,4,"","","4.19.2017 286 shrub",14,1.80951425584928,0.816326530612245,7,0.929906376575379
"4.19.2017 290 open","290","larrea","open","pre","4.19.2017",10,7,"","","4.19.2017 290 open",12,1.3497923961724,0.625,6,0.753333479941888
"4.19.2017 290 shrub","290","larrea","shrub","pre","4.19.2017",40,3,"","","4.19.2017 290 shrub",15,2.15353245665425,0.862222222222222,10,0.935267262524496
"4.19.2017 297 open","297","larrea","open","pre","4.19.2017",2,5,"","","4.19.2017 297 open",20,1.16372334790378,0.545,6,0.649486366830891
"4.19.2017 297 shrub","297","larrea","shrub","pre","4.19.2017",35,1,"","","4.19.2017 297 shrub",7,1.74786809746676,0.816326530612245,6,0.975503759006108
"4.20.2017 181 open","181","larrea","open","pre","4.20.2017",2,2,"","","4.20.2017 181 open",25,1.29229075090997,0.5248,9,0.588146866842655
"4.20.2017 181 shrub","181","larrea","shrub","pre","4.20.2017",35,3,"","","4.20.2017 181 shrub",11,0.759547391474863,0.429752066115702,3,0.691369830202511
"4.20.2017 183 open","183","larrea","open","pre","4.20.2017",5,5,"","","4.20.2017 183 open",34,1.20148168195174,0.48961937716263,9,0.54681787849303
"4.20.2017 183 shrub","183","larrea","shrub","pre","4.20.2017",35,5,"","","4.20.2017 183 shrub",20,1.5649304982285,0.725,7,0.804215188963493
"4.20.2017 185 open","185","larrea","open","pre","4.20.2017",10,6,"","","4.20.2017 185 open",0,0,1,0,0
"4.20.2017 185 shrub","185","larrea","shrub","pre","4.20.2017",65,4,"","","4.20.2017 185 shrub",13,1.41051355711484,0.662721893491124,6,0.787222605120391
"4.20.2017 274 open","274","larrea","open","pre","4.20.2017",10,4,"","","4.20.2017 274 open",24,1.44351492027554,0.628472222222222,8,0.694183938976914
"4.20.2017 274 shrub","274","larrea","shrub","pre","4.20.2017",40,3,"","","4.20.2017 274 shrub",28,2.28242389733697,0.869897959183674,13,0.889851447046044
"4.20.2017 281 open","281","larrea","open","pre","4.20.2017",2,6,"","blue and white knocked over","4.20.2017 281 open",10,1.08889997534522,0.58,4,0.785475297227334
"4.20.2017 281 shrub","281","larrea","shrub","pre","4.20.2017",30,4,"","","4.20.2017 281 shrub",2,0.693147180559945,0.5,2,1
"4.20.2017 287 open","287","larrea","open","pre","4.20.2017",2,6,"","","4.20.2017 287 open",13,1.51715158489329,0.674556213017751,7,0.779661684600302
"4.20.2017 287 shrub","287","larrea","shrub","pre","4.20.2017",20,4,"","","4.20.2017 287 shrub",8,1.90615474653985,0.84375,7,0.979569764547061
"4.22.2017 180 open","180","larrea","open","post","4.22.2017",3,2,"","","4.22.2017 180 open",13,0.793730055158425,0.390532544378698,4,0.572555207190791
"4.22.2017 180 shrub","180","larrea","shrub","post","4.22.2017",75,3,"","","4.22.2017 180 shrub",19,2.08159899150186,0.81994459833795,11,0.868094205412321
"4.22.2017 182 open","182","larrea","open","post","4.22.2017",5,3,"","","4.22.2017 182 open",31,0.956616295017577,0.432882414151925,6,0.533897719781392
"4.22.2017 182 shrub","182","larrea","shrub","post","4.22.2017",45,2,"","","4.22.2017 182 shrub",8,1.38629436111989,0.6875,5,0.861353116146786
"4.22.2017 189 open","189","larrea","open","post","4.22.2017",4,3,"","","4.22.2017 189 open",23,1.54640741299226,0.737240075614367,6,0.863066410168601
"4.22.2017 189 shrub","189","larrea","shrub","post","4.22.2017",55,3,"","","4.22.2017 189 shrub",16,2.36060911398924,0.890625,12,0.949978991842867
"4.22.2017 194 open","194","larrea","open","post","4.22.2017",1,2,"","","4.22.2017 194 open",31,0.793400430845633,0.341311134235172,6,0.442805211565286
"4.22.2017 194 shrub","194","larrea","shrub","post","4.22.2017",80,2,"","","4.22.2017 194 shrub",12,0.636514168294813,0.444444444444444,2,0.918295834054489
"4.22.2017 275 open","275","larrea","open","post","4.22.2017",1,1,"","","4.22.2017 275 open",13,0.793730055158425,0.390532544378698,4,0.572555207190791
"4.22.2017 275 shrub","275","larrea","shrub","post","4.22.2017",65,3,"","","4.22.2017 275 shrub",16,1.32088834314932,0.671875,5,0.820714072251238
"4.22.2017 276 open","276","larrea","open","post","4.22.2017",1,2,"","","4.22.2017 276 open",16,1.75410533099929,0.7734375,8,0.843546354076522
"4.22.2017 276 shrub","276","larrea","shrub","post","4.22.2017",20,2,"","","4.22.2017 276 shrub",16,1.92739212613927,0.8046875,9,0.877193959151834
"4.23.2017 146 open","146","larrea","open","post","4.23.2017",5,3,"","","4.23.2017 146 open",19,1.18947362932434,0.515235457063712,7,0.611268526402308
"4.23.2017 146 shrub","146","larrea","shrub","post","4.23.2017",45,2,"","","4.23.2017 146 shrub",9,1.67698777432242,0.790123456790123,6,0.935944697445866
"4.23.2017 195 open","195","larrea","open","post","4.23.2017",4,3,"","","4.23.2017 195 open",18,0.760755259244303,0.376543209876543,4,0.548768919920977
"4.23.2017 195 shrub","195","larrea","shrub","post","4.23.2017",50,2,"2","","4.23.2017 195 shrub",28,0.707109462764835,0.316326530612245,5,0.439351811773471
"4.23.2017 197 open","197","larrea","open","post","4.23.2017",1,1,"","","4.23.2017 197 open",26,1.07698796612705,0.497041420118343,6,0.601078428563322
"4.23.2017 197 shrub","197","larrea","shrub","post","4.23.2017",60,2,"","","4.23.2017 197 shrub",6,0.867563228481461,0.5,3,0.789690082142847
"4.23.2017 266 open","266","larrea","open","post","4.23.2017",2,2,"","","4.23.2017 266 open",30,0.858754317383799,0.353333333333333,7,0.441312420206401
"4.23.2017 266 shrub","266","larrea","shrub","post","4.23.2017",40,2,"","","4.23.2017 266 shrub",17,1.07916159126469,0.484429065743945,6,0.602291551850775
"4.23.2017 267 open","267","larrea","open","post","4.23.2017",1,2,"","","4.23.2017 267 open",31,0.424254098520446,0.181061394380853,4,0.306034642006133
"4.23.2017 267 shrub","267","larrea","shrub","post","4.23.2017",35,2,"","","4.23.2017 267 shrub",15,0.857174043642079,0.435555555555556,4,0.618320370970584
"4.23.2017 289 open","289","larrea","open","post","4.23.2017",1,2,"","","4.23.2017 289 open",12,1.09861228866811,0.527777777777778,5,0.682606194485985
"4.23.2017 289 shrub","289","larrea","shrub","post","4.23.2017",45,3,"","","4.23.2017 289 shrub",10,1.64341771979318,0.78,6,0.917208893279194
"4.26.2017 192 open","192","larrea","open","post","4.26.2017",1,3,"","","4.26.2017 192 open",19,0.926907559390993,0.437673130193906,5,0.575920047757012
"4.26.2017 192 shrub","192","larrea","shrub","post","4.26.2017",65,1,"","","4.26.2017 192 shrub",14,1.90853528164356,0.826530612244898,8,0.917811462062928
"4.26.2017 196 open","196","larrea","open","post","4.26.2017",2,2,"","","4.26.2017 196 open",15,1.17299347243951,0.533333333333333,6,0.65466012184374
"4.26.2017 196 shrub","196","larrea","shrub","post","4.26.2017",40,2,"","","4.26.2017 196 shrub",16,1.12748323499323,0.5625,5,0.700544722031579
"4.26.2017 264 open","264","larrea","open","post","4.26.2017",2,2,"","","4.26.2017 264 open",15,1.98673164880819,0.826666666666667,9,0.904200539763115
"4.26.2017 264 shrub","264","larrea","shrub","post","4.26.2017",80,2,"","","4.26.2017 264 shrub",13,1.73265872019921,0.781065088757396,7,0.890410444202866
"4.26.2017 295 open","295","larrea","open","post","4.26.2017",1,3,"","","4.26.2017 295 open",11,0.885574151576672,0.446280991735537,4,0.638806718409558
"4.26.2017 295 shrub","295","larrea","shrub","post","4.26.2017",45,1,"","","4.26.2017 295 shrub",10,1.83437197028162,0.82,7,0.94268071481726
"4.26.2017 298 open","298","larrea","open","post","4.26.2017",8,4,"","","4.26.2017 298 open",11,1.54030582522652,0.727272727272727,6,0.859661049197707
"4.26.2017 298 shrub","298","larrea","shrub","post","4.26.2017",25,2,"","","4.26.2017 298 shrub",16,1.33066009336289,0.6328125,6,0.742655538433502
"4.26.2017 301 open","301","larrea","open","post","4.26.2017",1,3,"","","4.26.2017 301 open",9,1.58109375017182,0.740740740740741,6,0.882425223544658
"4.26.2017 301 shrub","301","larrea","shrub","post","4.26.2017",45,2,"","","4.26.2017 301 shrub",8,0.974314752869349,0.59375,3,0.886859507142915
"4.27.2017 188 open","188","larrea","open","post","4.27.2017",4,4,"","","4.27.2017 188 open",3,1.09861228866811,0.666666666666667,3,1
"4.27.2017 188 shrub","188","larrea","shrub","post","4.27.2017",60,2,"","","4.27.2017 188 shrub",12,0.286835983056161,0.152777777777778,2,0.413816850303634
"4.27.2017 262 open","262","larrea","open","post","4.27.2017",5,4,"","","4.27.2017 262 open",10,0,0,1,NA
"4.27.2017 262 shrub","262","larrea","shrub","post","4.27.2017",40,2,"","","4.27.2017 262 shrub",5,1.05492016798614,0.64,3,0.960229717860761
"4.27.2017 282 open","282","larrea","open","post","4.27.2017",3,2,"","","4.27.2017 282 open",11,1.66633258532833,0.743801652892562,7,0.856325553436927
"4.27.2017 282 shrub","282","larrea","shrub","post","4.27.2017",20,3,"","","4.27.2017 282 shrub",7,1.27703425946614,0.693877551020408,4,0.921185496588554
"4.27.2017 293 open","293","larrea","open","post","4.27.2017",1,3,"","","4.27.2017 293 open",2,0.693147180559945,0.5,2,1
"4.27.2017 293 shrub","293","larrea","shrub","post","4.27.2017",8,2,"","","4.27.2017 293 shrub",3,1.09861228866811,0.666666666666667,3,1
"4.27.2017 294 open","294","larrea","open","post","4.27.2017",1,1,"","","4.27.2017 294 open",1,0,0,1,NA
"4.27.2017 294 shrub","294","larrea","shrub","post","4.27.2017",20,3,"","","4.27.2017 294 shrub",4,1.38629436111989,0.75,4,1
"4.27.2017 297 open","297","larrea","open","post","4.27.2017",1,4,"","","4.27.2017 297 open",0,0,1,0,0
"4.27.2017 297 shrub","297","larrea","shrub","post","4.27.2017",25,1,"","","4.27.2017 297 shrub",2,0.693147180559945,0.5,2,1
"4.29.2017 114 open","114","larrea","open","post","4.29.2017",2,1,"","","4.29.2017 114 open",21,1.45669664500914,0.598639455782313,9,0.662971213791513
"4.29.2017 114 shrub","114","larrea","shrub","post","4.29.2017",5,2,"","","4.29.2017 114 shrub",20,1.61033316570076,0.705,8,0.774406557445169
"4.29.2017 190 open","190","larrea","open","post","4.29.2017",3,1,"","","4.29.2017 190 open",12,2.13833305950803,0.875,9,0.973197315178593
"4.29.2017 190 shrub","190","larrea","shrub","post","4.29.2017",20,3,"","","4.29.2017 190 shrub",16,2.39331212297452,0.8984375,12,0.963139650810911
"4.29.2017 269 open","269","larrea","open","post","4.29.2017",1,3,"","","4.29.2017 269 open",7,1.27703425946614,0.693877551020408,4,0.921185496588554
"4.29.2017 269 shrub","269","larrea","shrub","post","4.29.2017",20,2,"","","4.29.2017 269 shrub",13,2.35167330190463,0.899408284023669,11,0.980723940941842
"4.29.2017 270 open","270","larrea","open","post","4.29.2017",2,3,"","","4.29.2017 270 open",11,0.885574151576672,0.446280991735537,4,0.638806718409558
"4.29.2017 270 shrub","270","larrea","shrub","post","4.29.2017",25,2,"","","4.29.2017 270 shrub",13,1.62602069242075,0.769230769230769,6,0.90749942743224
"4.29.2017 286 open","286","larrea","open","post","4.29.2017",1,2,"","","4.29.2017 286 open",8,1.49417513828931,0.75,5,0.928383211769586
"4.29.2017 286 shrub","286","larrea","shrub","post","4.29.2017",15,2,"","","4.29.2017 286 shrub",10,1.83437197028162,0.82,7,0.94268071481726
"4.29.2017 288 open","288","larrea","open","post","4.29.2017",1,1,"","","4.29.2017 288 open",3,0.636514168294813,0.444444444444444,2,0.918295834054489
"4.29.2017 288 shrub","288","larrea","shrub","post","4.29.2017",20,2,"","","4.29.2017 288 shrub",17,2.31315367873363,0.892733564013841,11,0.96466001037408
"4.30.2017 104 open","104","larrea","open","post","4.30.2017",10,2,"","","4.30.2017 104 open",19,1.83517103217954,0.797783933518006,8,0.882530715769499
"4.30.2017 104 shrub","104","larrea","shrub","post","4.30.2017",40,2,"","","4.30.2017 104 shrub",9,1.46481638489081,0.740740740740741,5,0.91014159264798
"4.30.2017 181 open","181","larrea","open","post","4.30.2017",2,2,"","","4.30.2017 181 open",12,1.79175946922805,0.805555555555556,7,0.920782221161602
"4.30.2017 181 shrub","181","larrea","shrub","post","4.30.2017",50,2,"","","4.30.2017 181 shrub",19,1.30975586190821,0.620498614958449,6,0.730988664718763
"4.30.2017 186 open","186","larrea","open","post","4.30.2017",1,3,"","","4.30.2017 186 open",21,1.58762722436932,0.73469387755102,7,0.81587899890448
"4.30.2017 186 shrub","186","larrea","shrub","post","4.30.2017",5,4,"","","4.30.2017 186 shrub",26,0.900368082936878,0.396449704142012,6,0.502504994894646
"4.30.2017 265 open","265","larrea","open","post","4.30.2017",1,2,"","","4.30.2017 265 open",15,1.67920433160271,0.764444444444444,7,0.862940322510736
"4.30.2017 265 shrub","265","larrea","shrub","post","4.30.2017",15,2,"","","4.30.2017 265 shrub",11,1.66633258532833,0.743801652892562,7,0.856325553436927
"4.30.2017 268 open","268","larrea","open","post","4.30.2017",2,2,"","","4.30.2017 268 open",17,1.47610404628973,0.671280276816609,7,0.758567422553573
"4.30.2017 268 shrub","268","larrea","shrub","post","4.30.2017",30,3,"","","4.30.2017 268 shrub",21,1.28515088464658,0.53968253968254,8,0.618026936024564
"4.30.2017 272 open","272","larrea","open","post","4.30.2017",4,2,"","","4.30.2017 272 open",15,1.76700919107457,0.8,7,0.908063094245335
"4.30.2017 272 shrub","272","larrea","shrub","post","4.30.2017",15,2,"","","4.30.2017 272 shrub",6,0.867563228481461,0.5,3,0.789690082142847
