plant.id,species,treatment,blooming,date,percent.cover,perennial,
207,buckhorn,shrub,pre,4.12.2017,15,,
190,larrea,open,pre,4.13.2017,5,,
190,larrea,shrub,pre,4.13.2017,40,,
294,larrea,open,pre,4.13.2017,2,,
294,larrea,shrub,pre,4.13.2017,50,1,
293,larrea,open,pre,4.13.2017,10,,
293,larrea,shrub,pre,4.13.2017,40,,
284,larrea,open,pre,4.13.2017,1,,
284,larrea,shrub,pre,4.13.2017,15,,
272,larrea,open,pre,4.13.2017,5,,
272,larrea,shrub,pre,4.13.2017,25,,
267,larrea,open,pre,4.13.2017,2,,
267,larrea,shrub,pre,4.13.2017,40,,
237,buckhorn,open,pre,4.13.2017,2,,
237,buckhorn,shrub,pre,4.13.2017,15,2,
227,buckhorn,open,pre,4.13.2017,2,,
227,buckhorn,shrub,pre,4.13.2017,50,1,
220,buckhorn,open,pre,4.13.2017,8,,
220,buckhorn,shrub,pre,4.13.2017,10,,
223,buckhorn,open,pre,4.13.2017,10,,
223,buckhorn,shrub,pre,4.13.2017,5,,
222,buckhorn,open,pre,4.13.2017,20,,
222,buckhorn,shrub,pre,4.13.2017,15,,
211,buckhorn,open,pre,4.13.2017,1,,
211,buckhorn,shrub,pre,4.13.2017,20,1,
208,buckhorn,open,pre,4.15.2017,5,,
208,buckhorn,shrub,pre,4.15.2017,10,,
230,buckhorn,open,pre,4.15.2017,2,,
230,buckhorn,shrub,pre,4.15.2017,20,,
239,buckhorn,open,pre,4.15.2017,15,,
239,buckhorn,shrub,pre,4.15.2017,20,,
244,buckhorn,open,pre,4.15.2017,2,,
244,buckhorn,shrub,pre,4.15.2017,10,,
248,buckhorn,open,pre,4.15.2017,10,,
248,buckhorn,shrub,pre,4.15.2017,20,,
253,buckhorn,open,pre,4.15.2017,15,,
253,buckhorn,shrub,pre,4.15.2017,45,,
276,larrea,open,pre,4.15.2017,10,,
276,larrea,shrub,pre,4.15.2017,25,,
269,larrea,open,pre,4.15.2017,10,,
269,larrea,shrub,pre,4.15.2017,55,,
262,larrea,open,pre,4.15.2017,10,,
262,larrea,shrub,pre,4.15.2017,35,,
186,larrea,open,pre,4.15.2017,8,,
186,larrea,shrub,pre,4.15.2017,20,,
199,larrea,open,pre,4.15.2017,40,,
199,larrea,shrub,pre,4.15.2017,55,,
300,larrea,open,pre,4.15.2017,2,,
300,larrea,shrub,pre,4.15.2017,25,,
268,larrea,open,pre,4.16.2017,1,,
268,larrea,shrub,pre,4.16.2017,25,,
271,larrea,open,pre,4.16.2017,2,,
271,larrea,shrub,pre,4.16.2017,50,,
188,larrea,open,pre,4.16.2017,1,,
188,larrea,shrub,pre,4.16.2017,70,,
195,larrea,open,pre,4.16.2017,5,,
195,larrea,shrub,pre,4.16.2017,50,1,
146,larrea,open,pre,4.16.2017,15,,
146,larrea,shrub,pre,4.16.2017,20,,
298,larrea,open,pre,4.16.2017,10,,
298,larrea,shrub,pre,4.16.2017,25,,
258,buckhorn,open,pre,4.16.2017,5,,
258,buckhorn,shrub,pre,4.16.2017,45,1,
246,buckhorn,open,pre,4.16.2017,10,,
246,buckhorn,shrub,pre,4.16.2017,40,,
232,buckhorn,open,pre,4.16.2017,5,,
232,buckhorn,shrub,pre,4.16.2017,15,1,
225,buckhorn,open,pre,4.16.2017,10,,
225,buckhorn,shrub,pre,4.16.2017,20,,
221,buckhorn,open,pre,4.16.2017,10,,
221,buckhorn,shrub,pre,4.16.2017,15,,
219,buckhorn,open,pre,4.16.2017,7,,
219,buckhorn,shrub,pre,4.16.2017,20,,
205,buckhorn,open,pre,4.17.2017,15,,
205,buckhorn,shrub,pre,4.17.2017,15,,
209,buckhorn,open,pre,4.17.2017,10,,
209,buckhorn,shrub,pre,4.17.2017,15,,
240,buckhorn,open,pre,4.17.2017,15,,
240,buckhorn,shrub,pre,4.17.2017,60,1,
243,buckhorn,open,pre,4.17.2017,30,,
243,buckhorn,shrub,pre,4.17.2017,10,,
255,buckhorn,open,pre,4.17.2017,5,,
255,buckhorn,shrub,pre,4.17.2017,50,2,
256,buckhorn,open,pre,4.17.2017,2,,
256,buckhorn,shrub,pre,4.17.2017,10,,
291,larrea,open,pre,4.17.2017,1,,
291,larrea,shrub,pre,4.17.2017,35,,
299,larrea,open,pre,4.17.2017,10,,
299,larrea,shrub,pre,4.17.2017,15,1,
295,larrea,open,pre,4.17.2017,5,,
295,larrea,shrub,pre,4.17.2017,40,,
282,larrea,open,pre,4.17.2017,25,,
282,larrea,shrub,pre,4.17.2017,20,,
280,larrea,open,pre,4.17.2017,10,,
280,larrea,shrub,pre,4.17.2017,35,,
278,larrea,open,pre,4.17.2017,15,,
278,larrea,shrub,pre,4.17.2017,10,,
218,buckhorn,open,pre,4.19.2017,10,,
218,buckhorn,shrub,pre,4.19.2017,15,,
216,buckhorn,open,pre,4.19.2017,5,,
216,buckhorn,shrub,pre,4.19.2017,40,3,
226,buckhorn,open,pre,4.19.2017,2,,
226,buckhorn,shrub,pre,4.19.2017,15,,
252,buckhorn,open,pre,4.19.2017,5,,
252,buckhorn,shrub,pre,4.19.2017,10,,
254,buckhorn,open,pre,4.19.2017,2,,
254,buckhorn,shrub,pre,4.19.2017,20,,
257,buckhorn,open,pre,4.19.2017,5,1,
257,buckhorn,shrub,pre,4.19.2017,25,,
297,larrea,open,pre,4.19.2017,2,,
297,larrea,shrub,pre,4.19.2017,35,,
290,larrea,open,pre,4.19.2017,10,,
290,larrea,shrub,pre,4.19.2017,40,,
286,larrea,open,pre,4.19.2017,1,,
286,larrea,shrub,pre,4.19.2017,15,,
283,larrea,open,pre,4.19.2017,5,,
283,larrea,shrub,pre,4.19.2017,30,,
270,larrea,open,pre,4.19.2017,2,,
270,larrea,shrub,pre,4.19.2017,25,,
264,larrea,open,pre,4.19.2017,10,,
264,larrea,shrub,pre,4.19.2017,45,,
260,buckhorn,open,pre,4.20.2017,10,,
260,buckhorn,shrub,pre,4.20.2017,15,,
250,buckhorn,open,pre,4.20.2017,5,,
250,buckhorn,shrub,pre,4.20.2017,15,,north
247,buckhorn,open,pre,4.20.2017,10,,
247,buckhorn,shrub,pre,4.20.2017,20,1,
229,buckhorn,open,pre,4.20.2017,15,,yellow knocked over
229,buckhorn,shrub,pre,4.20.2017,5,,east side
228,buckhorn,open,pre,4.20.2017,10,,yellow knocked over
228,buckhorn,shrub,pre,4.20.2017,30,,
212,buckhorn,open,pre,4.20.2017,10,,east
212,buckhorn,shrub,pre,4.20.2017,15,,north
185,larrea,open,pre,4.20.2017,10,,
185,larrea,shrub,pre,4.20.2017,65,,
183,larrea,open,pre,4.20.2017,5,,
183,larrea,shrub,pre,4.20.2017,35,,
181,larrea,open,pre,4.20.2017,2,,
181,larrea,shrub,pre,4.20.2017,35,,
287,larrea,open,pre,4.20.2017,2,,
287,larrea,shrub,pre,4.20.2017,20,,
281,larrea,open,pre,4.20.2017,2,,blue and white knocked over
281,larrea,shrub,pre,4.20.2017,30,,
274,larrea,open,pre,4.20.2017,10,,
274,larrea,shrub,pre,4.20.2017,40,,
206,buckhorn,shrub,pre,4.22.1017,4,,
206,buckhorn,open,pre,4.22.2017,2,,
210,buckhorn,shrub,pre,4.22.2017,8,east,
210,buckhorn,open,pre,4.22.2017,1,,
224,buckhorn,shrub,pre,4.22.2017,40,,
224,buckhorn,open,pre,4.22.2017,2,,
233,buckhorn,shrub,pre,4.22.2017,50,,
233,buckhorn,open,pre,4.22.2017,1,,
240,buckhorn,shrub,pre,4.22.2017,10,,
240,buckhorn,open,pre,4.22.2017,10,,
251,buckhorn,shrub,pre,4.22.2017,10,,
251,buckhorn,open,pre,4.22.2017,1,,
276,larrea,shrub,post,4.22.2017,20,,
276,larrea,open,post,4.22.2017,1,,
275,larrea,shrub,post,4.22.2017,65,,
275,larrea,open,post,4.22.2017,1,,
189,larrea,shrub,post,4.22.2017,55,,
189,larrea,open,post,4.22.2017,4,,
182,larrea,shrub,post,4.22.2017,45,,
182,larrea,open,post,4.22.2017,5,,
180,larrea,shrub,post,4.22.2017,75,,
180,larrea,open,post,4.22.2017,3,,
194,larrea,shrub,post,4.22.2017,80,,
194,larrea,open,post,4.22.2017,1,,
289,larrea,shrub,post,4.23.2017,45,,
289,larrea,open,post,4.23.2017,1,,
146,larrea,shrub,post,4.23.2017,45,,
146,larrea,open,post,4.23.2017,5,,
266,larrea,shrub,post,4.23.2017,40,,
266,larrea,open,post,4.23.2017,2,,
195,larrea,shrub,post,4.23.2017,50,2,
195,larrea,open,post,4.23.2017,4,,
197,larrea,shrub,post,4.23.2017,60,,
197,larrea,open,post,4.23.2017,1,,
267,larrea,shrub,post,4.23.2017,35,,
267,larrea,open,post,4.23.2017,1,,
264,larrea,shrub,post,4.26.2017,80,,
264,larrea,open,post,4.26.2017,2,,
301,larrea,shrub,post,4.26.2017,45,,
301,larrea,open,post,4.26.2017,1,,
295,larrea,shrub,post,4.26.2017,45,,
295,larrea,open,post,4.26.2017,1,,
298,larrea,shrub,post,4.26.2017,25,,
298,larrea,open,post,4.26.2017,8,,
196,larrea,shrub,post,4.26.2017,40,,
196,larrea,open,post,4.26.2017,2,,
192,larrea,shrub,post,4.26.2017,65,,
192,larrea,open,post,4.26.2017,1,,
262,larrea,shrub,post,4.27.2017,40,,
262,larrea,open,post,4.27.2017,5,,
282,larrea,shrub,post,4.27.2017,20,,
282,larrea,open,post,4.27.2017,3,,
293,larrea,shrub,post,4.27.2017,8,,
293,larrea,open,post,4.27.2017,1,,
294,larrea,shrub,post,4.27.2017,20,,
294,larrea,open,post,4.27.2017,1,,
297,larrea,shrub,post,4.27.2017,25,,
297,larrea,open,post,4.27.2017,1,,
188,larrea,shrub,post,4.27.2017,60,,
188,larrea,open,post,4.27.2017,4,,
114,larrea,shrub,post,4.29.2017,5,,
114,larrea,open,post,4.29.2017,2,,
269,larrea,shrub,post,4.29.2017,20,,
269,larrea,open,post,4.29.2017,1,,
270,larrea,shrub,post,4.29.2017,25,,
270,larrea,open,post,4.29.2017,2,,
286,larrea,shrub,post,4.29.2017,15,,
286,larrea,open,post,4.29.2017,1,,
288,larrea,shrub,post,4.29.2017,20,,
288,larrea,open,post,4.29.2017,1,,
190,larrea,shrub,post,4.29.2017,20,,
190,larrea,open,post,4.29.2017,3,,
104,larrea,shrub,post,4.30.2017,40,,
104,larrea,open,post,4.30.2017,10,,
265,larrea,shrub,post,4.30.2017,15,,
265,larrea,open,post,4.30.2017,1,,
268,larrea,shrub,post,4.30.2017,30,,
268,larrea,open,post,4.30.2017,2,,
272,larrea,shrub,post,4.30.2017,15,,
272,larrea,open,post,4.30.2017,4,,
186,larrea,shrub,post,4.30.2017,5,,
186,larrea,open,post,4.30.2017,1,,
181,larrea,shrub,post,4.30.2017,50,,
181,larrea,open,post,4.30.2017,2,,
271,larrea,shrub,post,5.1.2017,25,,
271,larrea,open,post,5.1.2017,1,,
278,larrea,shrub,post,5.1.2017,2,,
278,larrea,open,post,5.1.2017,1,,
296,larrea,shrub,post,5.1.2017,15,,
296,larrea,open,post,5.1.2017,3,,
184,larrea,shrub,post,5.1.2017,25,,
184,larrea,open,post,5.1.2017,1,,
191,larrea,shrub,post,5.1.2017,50,,
191,larrea,open,post,5.1.2017,3,,
199,larrea,shrub,post,5.1.2017,30,,
199,larrea,open,post,5.1.2017,5,,
263,larrea,shrub,post,5.3.2017,8,,
263,larrea,open,post,5.3.2017,2,,
274,larrea,shrub,post,5.3.2017,25,,
274,larrea,open,post,5.3.2017,2,,
285,larrea,shrub,post,5.3.2017,30,,
285,larrea,open,post,5.3.2017,8,,
290,larrea,shrub,post,5.3.2017,20,,
290,larrea,open,post,5.3.2017,1,,
187,larrea,shrub,post,5.3.2017,50,,
187,larrea,open,post,5.3.2017,1,,
183,larrea,shrub,post,5.3.2017,5,,
183,larrea,open,post,5.3.2017,1,,
261,larrea,shrub,post,5.4.2017,2,,
261,larrea,open,post,5.4.2017,4,,
273,larrea,shrub,post,5.4.2017,20,,
273,larrea,open,post,5.4.2017,1,,
280,larrea,shrub,post,5.4.2017,25,,
280,larrea,open,post,5.4.2017,20,,
283,larrea,shrub,post,5.4.2017,20,,
283,larrea,open,post,5.4.2017,4,,
291,larrea,shrub,post,5.4.2017,40,,
291,larrea,open,post,5.4.2017,2,,
198,larrea,shrub,post,5.4.2017,45,,
198,larrea,open,post,5.4.2017,1,,
303,larrea,shrub,post,5.5.2017,50,,
303,larrea,open,post,5.5.2017,3,,
302,larrea,shrub,post,5.5.2017,25,,
302,larrea,open,post,5.5.2017,2,,
193,larrea,shrub,post,5.5.2017,50,,
193,larrea,open,post,5.5.2017,1,,
281,larrea,shrub,post,5.5.2017,45,,
281,larrea,open,post,5.5.2017,1,,
185,larrea,shrub,post,5.5.2017,75,,
185,larrea,open,post,5.5.2017,1,,
300,larrea,shrub,post,5.5.2017,15,,
300,larrea,open,post,5.5.2017,4,,
1,buckhorn,shrub,post,5.7.2017,2,,
1,buckhorn,open,post,5.7.2017,4,,
2,buckhorn,shrub,post,5.7.2017,40,,
2,buckhorn,open,post,5.7.2017,2,,
3,buckhorn,shrub,post,5.7.2017,3,,
3,buckhorn,open,post,5.7.2017,5,,
4,buckhorn,shrub,post,5.7.2017,1,,
4,buckhorn,open,post,5.7.2017,1,,
5,buckhorn,shrub,post,5.7.2017,2,,
5,buckhorn,open,post,5.7.2017,1,,
6,buckhorn,shrub,post,5.7.2017,2,,
6,buckhorn,open,post,5.7.2017,0,,
