"","uniID","highest.rtu","Quantity"
"57","4.10.2017 194 open","Cicadellidae",5
"58","4.10.2017 194 open","Eupeodesvolucris",1
"59","4.10.2017 194 open","Lasioglossum",1
"60","4.10.2017 194 open","Melyridae",7
"61","4.10.2017 194 open","Mythicomyiidae",4
"62","4.10.2017 194 shrub","Cicadellidae",2
"63","4.10.2017 194 shrub","Encrytidae",1
"64","4.10.2017 194 shrub","Formicidae",1
"65","4.10.2017 194 shrub","Miridae",1
"66","4.10.2017 194 shrub","Mythicomyiidae",5
"67","4.10.2017 194 shrub","Pronotacanthaannulata",1
"68","4.10.2017 275 open","Zeroes",0
"69","4.10.2017 275 shrub","Asilidae",1
"70","4.10.2017 275 shrub","Chrysomelidae",1
"71","4.10.2017 275 shrub","Cicadellidae",6
"72","4.10.2017 275 shrub","Coccinellidae",1
"73","4.10.2017 275 shrub","Eupeodesvolucris",1
"74","4.10.2017 275 shrub","Lasioglossum",1
"75","4.10.2017 275 shrub","Melyridae",2
"76","4.10.2017 275 shrub","Mythicomyiidae",11
"77","4.10.2017 275 shrub","Nymph",3
"78","4.10.2017 275 shrub","Orthoptera",1
"79","4.10.2017 275 shrub","Sarcophagidae",1
"80","4.10.2017 296 open","Andrena",1
"81","4.10.2017 296 open","Asilidae",1
"82","4.10.2017 296 open","Bombyliidae",1
"83","4.10.2017 296 open","Chloropidae",2
"84","4.10.2017 296 open","Cicadellidae",5
"85","4.10.2017 296 open","Eupeodesvolucris",1
"86","4.10.2017 296 open","Harpactorinae",1
"87","4.10.2017 296 open","Lasioglossum",1
"88","4.10.2017 296 open","Melyridae",4
"89","4.10.2017 296 open","Mythicomyiidae",8
"90","4.10.2017 296 open","Orthoptera",1
"91","4.10.2017 296 open","Trichogrammatidae",1
"92","4.10.2017 296 open","Usiinae",1
"93","4.10.2017 296 shrub","Asilidae",1
"94","4.10.2017 296 shrub","Buprestidae",1
"95","4.10.2017 296 shrub","Chrysididae",1
"96","4.10.2017 296 shrub","Cicadellidae",8
"97","4.10.2017 296 shrub","Colletes",1
"98","4.10.2017 296 shrub","Lasioglossum",3
"99","4.10.2017 296 shrub","Miridae",1
"100","4.10.2017 296 shrub","Miscophus",3
"101","4.10.2017 296 shrub","Mythicomyiidae",5
"102","4.10.2017 296 shrub","Nomadopsis",1
"103","4.10.2017 296 shrub","Therevidae",1
"104","4.11.2017 187 open","Chrysididae",1
"105","4.11.2017 187 open","Cicadellidae",1
"106","4.11.2017 187 open","Ephydridae",1
"107","4.11.2017 187 open","Formicidae",1
"108","4.11.2017 187 open","Heleomyzidae",1
"109","4.11.2017 187 open","Melyridae",3
"110","4.11.2017 187 open","Mythicomyiidae",5
"111","4.11.2017 187 open","Platygastridae",1
"112","4.11.2017 187 shrub","Cecidomyiidae",1
"113","4.11.2017 187 shrub","Cicadellidae",3
"114","4.11.2017 187 shrub","Lasioglossum",1
"115","4.11.2017 187 shrub","Mythicomyiidae",6
"116","4.11.2017 187 shrub","Thysanoptera",1
"117","4.11.2017 193 open","Chloropidae",1
"118","4.11.2017 193 open","destroyed",1
"119","4.11.2017 193 open","Ephydridae",2
"120","4.11.2017 193 open","Lasioglossum",2
"121","4.11.2017 193 open","Melyridae",4
"122","4.11.2017 193 open","Miridae",2
"123","4.11.2017 193 open","Mythicomyiidae",4
"124","4.11.2017 193 open","Thysanoptera",1
"125","4.11.2017 193 shrub","Cicadellidae",5
"126","4.11.2017 193 shrub","Crabronidae",1
"127","4.11.2017 193 shrub","Formicidae",1
"128","4.11.2017 193 shrub","Miridae",1
"129","4.11.2017 193 shrub","Muscidae",1
"130","4.11.2017 193 shrub","Mythicomyiidae",3
"131","4.11.2017 193 shrub","Nymph",2
"132","4.11.2017 193 shrub","Orthoptera",1
"133","4.11.2017 193 shrub","Sciaridae",1
"134","4.11.2017 193 shrub","Tachinidae",1
"135","4.11.2017 193 shrub","Thysanoptera",3
"136","4.11.2017 197 open","Araneae",1
"137","4.11.2017 197 open","Buprestidae",1
"138","4.11.2017 197 open","Chrysomelidae",1
"139","4.11.2017 197 open","Cicadellidae",2
"140","4.11.2017 197 open","Lasioglossum",2
"141","4.11.2017 197 open","Mythicomyiidae",5
"142","4.11.2017 197 open","Pteromalidae",1
"143","4.11.2017 197 shrub","Chloropidae",1
"144","4.11.2017 197 shrub","Chrysididae",1
"145","4.11.2017 197 shrub","Cicadellidae",1
"146","4.11.2017 197 shrub","Heleomyzidae",1
"147","4.11.2017 197 shrub","Miridae",1
"148","4.11.2017 197 shrub","Mythicomyiidae",1
"149","4.11.2017 197 shrub","Sarcophagidae",1
"150","4.11.2017 197 shrub","Thysanoptera",1
"151","4.11.2017 266 open","Cicadellidae",2
"152","4.11.2017 266 open","Eulophidae",1
"153","4.11.2017 266 open","Heleomyzidae",1
"154","4.11.2017 266 open","Melyridae",16
"155","4.11.2017 266 open","Miridae",1
"156","4.11.2017 266 open","Mythicomyiidae",2
"157","4.11.2017 266 open","Nymph",3
"158","4.11.2017 266 open","Pronotacanthaannulata",1
"159","4.11.2017 266 open","Pteromalidae",1
"160","4.11.2017 266 open","Thysanoptera",3
"161","4.11.2017 266 shrub","Canacidae",1
"162","4.11.2017 266 shrub","Chloropidae",2
"163","4.11.2017 266 shrub","Chrysomelidae",1
"164","4.11.2017 266 shrub","Cicadellidae",2
"165","4.11.2017 266 shrub","Heleomyzidae",1
"166","4.11.2017 266 shrub","Lasioglossum",2
"167","4.11.2017 266 shrub","Miridae",3
"168","4.11.2017 266 shrub","Nymph",2
"169","4.11.2017 266 shrub","Pompilidae",1
"170","4.11.2017 266 shrub","Tersilochinae",1
"171","4.11.2017 273 open","Asilidae",1
"172","4.11.2017 273 open","Cicadellidae",2
"173","4.11.2017 273 open","Melyridae",5
"174","4.11.2017 273 open","Mythicomyiidae",4
"175","4.11.2017 273 open","Thysanoptera",1
"176","4.11.2017 273 open","Usiinae",1
"177","4.11.2017 273 shrub","Buprestidae",1
"178","4.11.2017 273 shrub","Chyromyidae",1
"179","4.11.2017 273 shrub","Cicadellidae",5
"180","4.11.2017 273 shrub","Eupeodesvolucris",1
"181","4.11.2017 273 shrub","Formicidae",1
"182","4.11.2017 273 shrub","Heleomyzidae",1
"183","4.11.2017 273 shrub","Lasioglossum",2
"184","4.11.2017 273 shrub","Melyridae",4
"185","4.11.2017 273 shrub","Miscophus",1
"186","4.11.2017 273 shrub","Orthoptera",1
"187","4.11.2017 273 shrub","Thysanoptera",1
"188","4.11.2017 288 open","Araneae",1
"189","4.11.2017 288 open","Cicadellidae",1
"190","4.11.2017 288 open","damaged",1
"191","4.11.2017 288 open","Ephydridae",1
"192","4.11.2017 288 open","Heleomyzidae",1
"193","4.11.2017 288 open","Lasioglossum",1
"194","4.11.2017 288 open","Melyridae",3
"195","4.11.2017 288 open","Miridae",1
"196","4.11.2017 288 open","Mythicomyiidae",2
"197","4.11.2017 288 open","Tachinidae",1
"198","4.11.2017 288 open","Thysanoptera",2
"199","4.11.2017 288 shrub","Andrena",1
"200","4.11.2017 288 shrub","Cecidomyiidae",1
"201","4.11.2017 288 shrub","Ceraphronidae",1
"202","4.11.2017 288 shrub","Chloropidae",1
"203","4.11.2017 288 shrub","Cicadellidae",5
"204","4.11.2017 288 shrub","Eupelmidae",1
"205","4.11.2017 288 shrub","Formicidae",1
"206","4.11.2017 288 shrub","Geocoridae",1
"207","4.11.2017 288 shrub","Heleomyzidae",2
"208","4.11.2017 288 shrub","Lasioglossum",3
"209","4.11.2017 288 shrub","Mythicomyiidae",4
"210","4.11.2017 288 shrub","Nymph",2
"211","4.11.2017 288 shrub","Tachinidae",1
"212","4.11.2017 288 shrub","Thysanoptera",3
"213","4.12.2017 180 open","Araneae",1
"214","4.12.2017 180 open","Cicadellidae",3
"215","4.12.2017 180 open","Eupeodesvolucris",1
"216","4.12.2017 180 open","Heleomyzidae",1
"217","4.12.2017 180 open","Lasioglossum",2
"218","4.12.2017 180 open","Lytta",1
"219","4.12.2017 180 open","Melyridae",6
"220","4.12.2017 180 open","Mutillidae",1
"221","4.12.2017 180 open","Mythicomyiidae",7
"222","4.12.2017 180 open","Phoridae",2
"223","4.12.2017 180 open","Tachinidae",1
"224","4.12.2017 180 shrub","Asilidae",1
"225","4.12.2017 180 shrub","Cecidomyiidae",1
"226","4.12.2017 180 shrub","Cicadellidae",7
"227","4.12.2017 180 shrub","Ephydridae",1
"228","4.12.2017 180 shrub","Heleomyzidae",1
"229","4.12.2017 180 shrub","Melyridae",4
"230","4.12.2017 180 shrub","Miridae",2
"231","4.12.2017 180 shrub","Mythicomyiidae",2
"232","4.12.2017 180 shrub","Rhopalidae",1
"233","4.12.2017 180 shrub","Thysanoptera",1
"234","4.12.2017 191 open","Buprestidae",1
"235","4.12.2017 191 open","Cecidomyiidae",1
"236","4.12.2017 191 open","Cicadellidae",1
"237","4.12.2017 191 open","Eupelmidae",1
"238","4.12.2017 191 open","Heleomyzidae",1
"239","4.12.2017 191 open","Melyridae",11
"240","4.12.2017 191 open","Miridae",2
"241","4.12.2017 191 open","Mythicomyiidae",2
"242","4.12.2017 191 open","Pronotacanthaannulata",1
"243","4.12.2017 191 open","Thysanoptera",1
"244","4.12.2017 191 shrub","Cecidomyiidae",1
"245","4.12.2017 191 shrub","Cicadellidae",6
"246","4.12.2017 191 shrub","Heleomyzidae",1
"247","4.12.2017 191 shrub","Lasioglossum",1
"248","4.12.2017 191 shrub","Lygaeoidea",1
"249","4.12.2017 191 shrub","Melyridae",1
"250","4.12.2017 191 shrub","Miridae",1
"251","4.12.2017 191 shrub","Mythicomyiidae",1
"252","4.12.2017 191 shrub","Phoridae",1
"253","4.12.2017 191 shrub","Tachinidae",1
"254","4.12.2017 196 open","Cicadellidae",1
"255","4.12.2017 196 open","Crabronidae",1
"256","4.12.2017 196 open","Heleomyzidae",1
"257","4.12.2017 196 open","Lasioglossum",3
"258","4.12.2017 196 open","Melyridae",5
"259","4.12.2017 196 open","Milichiidae",1
"260","4.12.2017 196 open","Miridae",2
"261","4.12.2017 196 open","Mythicomyiidae",2
"262","4.12.2017 196 open","Nymphalidae",1
"263","4.12.2017 196 open","Phoridae",1
"264","4.12.2017 196 shrub","Asilidae",1
"265","4.12.2017 196 shrub","Cicadellidae",3
"266","4.12.2017 196 shrub","Miridae",2
"267","4.12.2017 196 shrub","Mythicomyiidae",3
"268","4.12.2017 196 shrub","Pronotacanthaannulata",1
"269","4.12.2017 196 shrub","Thysanoptera",1
"270","4.12.2017 198 open","Anthomyiidae",1
"271","4.12.2017 198 open","Cicadellidae",1
"272","4.12.2017 198 open","Melyridae",5
"273","4.12.2017 198 open","Miridae",1
"274","4.12.2017 198 open","Mythicomyiidae",2
"275","4.12.2017 198 open","Pteromalidae",1
"276","4.12.2017 198 open","Tachinidae",1
"277","4.12.2017 198 shrub","Araneae",1
"278","4.12.2017 198 shrub","Asilidae",1
"279","4.12.2017 198 shrub","Cecidomyiidae",1
"280","4.12.2017 198 shrub","Cicadellidae",7
"281","4.12.2017 198 shrub","Crabronidae",1
"282","4.12.2017 198 shrub","Curculionidae",1
"283","4.12.2017 198 shrub","Eupelmidae",1
"284","4.12.2017 198 shrub","Heleomyzidae",1
"285","4.12.2017 198 shrub","Mythicomyiidae",3
"286","4.12.2017 198 shrub","Pronotacanthaannulata",1
"287","4.12.2017 198 shrub","Thysanoptera",2
"288","4.12.2017 265 open","Crabronidae",1
"289","4.12.2017 265 open","Dryinidae",1
"290","4.12.2017 265 open","Eupeodesvolucris",1
"291","4.12.2017 265 open","Lyttaauriculata",1
"292","4.12.2017 265 open","Melyridae",6
"293","4.12.2017 265 open","Mythicomyiidae",1
"294","4.12.2017 265 shrub","Cicadellidae",1
"295","4.12.2017 265 shrub","Diadasia",1
"296","4.12.2017 265 shrub","Eupeodesvolucris",1
"297","4.12.2017 265 shrub","Lasioglossum",1
"298","4.12.2017 265 shrub","Melyridae",4
"299","4.12.2017 265 shrub","Miridae",3
"300","4.12.2017 265 shrub","Mythicomyiidae",3
"301","4.12.2017 265 shrub","Thysanoptera",2
"302","4.12.2017 289 open","Cecidomyiidae",1
"303","4.12.2017 289 open","Cicadellidae",1
"304","4.12.2017 289 open","Melyridae",6
"305","4.12.2017 289 open","Milichiidae",2
"306","4.12.2017 289 open","Mythicomyiidae",4
"307","4.12.2017 289 open","Nymph",1
"308","4.12.2017 289 open","Pronotacanthaannulata",1
"309","4.12.2017 289 open","Tachinidae",2
"310","4.12.2017 289 shrub","Araneae",2
"311","4.12.2017 289 shrub","Asilidae",1
"312","4.12.2017 289 shrub","Cecidomyiidae",1
"313","4.12.2017 289 shrub","Cercopidae",1
"314","4.12.2017 289 shrub","Chloropidae",1
"315","4.12.2017 289 shrub","Cicadellidae",2
"316","4.12.2017 289 shrub","Lasioglossum",1
"317","4.12.2017 289 shrub","Melyridae",1
"318","4.12.2017 289 shrub","Milichiidae",1
"319","4.12.2017 289 shrub","Mythicomyiidae",2
"320","4.12.2017 289 shrub","Tephritidae",1
"321","4.13.2017 190 open","Asilidae",2
"322","4.13.2017 190 open","Chrysomelidae",1
"323","4.13.2017 190 open","Cicadellidae",1
"324","4.13.2017 190 open","Drosophilidae",1
"325","4.13.2017 190 open","Eupeodesvolucris",1
"326","4.13.2017 190 open","Halictus",1
"327","4.13.2017 190 open","Heleomyzidae",6
"328","4.13.2017 190 open","Melyridae",7
"329","4.13.2017 190 open","Mythicomyiidae",1
"330","4.13.2017 190 open","Tephritidae",1
"331","4.13.2017 190 open","Thysanoptera",4
"332","4.13.2017 190 shrub","Cicadellidae",6
"333","4.13.2017 190 shrub","Encrytidae",2
"334","4.13.2017 190 shrub","Eulophidae",1
"335","4.13.2017 190 shrub","Eupeodesvolucris",1
"336","4.13.2017 190 shrub","Lasioglossum",1
"337","4.13.2017 190 shrub","Melyridae",1
"338","4.13.2017 190 shrub","Milichiidae",1
"339","4.13.2017 190 shrub","Miscophus",1
"340","4.13.2017 190 shrub","Mythicomyiidae",1
"341","4.13.2017 190 shrub","Nymph",1
"342","4.13.2017 190 shrub","Thysanoptera",1
"343","4.13.2017 267 open","Eupeodesvolucris",1
"344","4.13.2017 267 open","Melyridae",16
"345","4.13.2017 267 open","Miridae",3
"346","4.13.2017 267 open","Signiphoridae",1
"347","4.13.2017 267 open","Thysanoptera",1
"348","4.13.2017 267 open","Usiinae",1
"349","4.13.2017 267 shrub","Cecidomyiidae",1
"350","4.13.2017 267 shrub","Cicadellidae",2
"351","4.13.2017 267 shrub","Crabronidae",1
"352","4.13.2017 267 shrub","Heleomyzidae",2
"353","4.13.2017 267 shrub","Melyridae",7
"354","4.13.2017 267 shrub","Miridae",2
"355","4.13.2017 267 shrub","Miscophus",1
"356","4.13.2017 267 shrub","Nymph",2
"357","4.13.2017 267 shrub","Tachinidae",1
"358","4.13.2017 267 shrub","Thysanoptera",2
"359","4.13.2017 272 open","Melyridae",7
"360","4.13.2017 272 open","Mythicomyiidae",1
"361","4.13.2017 272 open","Nymph",3
"362","4.13.2017 272 open","Sarcophagidae",1
"363","4.13.2017 272 open","Thysanoptera",1
"364","4.13.2017 272 shrub","Asilidae",1
"365","4.13.2017 272 shrub","Cecidomyiidae",2
"366","4.13.2017 272 shrub","Cicadellidae",1
"367","4.13.2017 272 shrub","Lasioglossum",1
"368","4.13.2017 272 shrub","Melyridae",2
"369","4.13.2017 272 shrub","Miridae",1
"370","4.13.2017 272 shrub","Mythicomyiidae",1
"371","4.13.2017 272 shrub","Nymph",4
"372","4.13.2017 284 open","Curculionidae",1
"373","4.13.2017 284 open","Heleomyzidae",1
"374","4.13.2017 284 open","Lasioglossum",1
"375","4.13.2017 284 open","Melyridae",6
"376","4.13.2017 284 open","Miridae",3
"377","4.13.2017 284 open","Mythicomyiidae",2
"378","4.13.2017 284 open","Nymph",2
"379","4.13.2017 284 shrub","Cecidomyiidae",1
"380","4.13.2017 284 shrub","Cicadellidae",1
"381","4.13.2017 284 shrub","destroyed",1
"382","4.13.2017 284 shrub","Heleomyzidae",1
"383","4.13.2017 284 shrub","Milichiidae",1
"384","4.13.2017 284 shrub","Mythicomyiidae",2
"385","4.13.2017 284 shrub","Thysanoptera",1
"386","4.13.2017 293 open","Eupeodesvolucris",1
"387","4.13.2017 293 open","Heleomyzidae",4
"388","4.13.2017 293 open","Melyridae",3
"389","4.13.2017 293 open","Mythicomyiidae",2
"390","4.13.2017 293 open","Nymph",3
"391","4.13.2017 293 shrub","Aphididae",1
"392","4.13.2017 293 shrub","Cephranoidea",1
"393","4.13.2017 293 shrub","Cicadellidae",7
"394","4.13.2017 293 shrub","Eupelmidae",1
"395","4.13.2017 293 shrub","Formicidae",3
"396","4.13.2017 293 shrub","Heleomyzidae",2
"397","4.13.2017 293 shrub","Melyridae",2
"398","4.13.2017 293 shrub","Miridae",1
"399","4.13.2017 293 shrub","Mythicomyiidae",3
"400","4.13.2017 293 shrub","Thysanoptera",2
"401","4.13.2017 294 open","Ephydridae",1
"402","4.13.2017 294 open","Eupeodesvolucris",1
"403","4.13.2017 294 open","Melyridae",3
"404","4.13.2017 294 open","Mythicomyiidae",3
"405","4.13.2017 294 open","Nymph",1
"406","4.13.2017 294 shrub","Cecidomyiidae",1
"407","4.13.2017 294 shrub","Cicadellidae",4
"408","4.13.2017 294 shrub","Heleomyzidae",1
"409","4.13.2017 294 shrub","Miridae",3
"410","4.13.2017 294 shrub","Mythicomyiidae",2
"411","4.13.2017 294 shrub","Nymph",2
"412","4.13.2017 294 shrub","Orthoptera",1
"413","4.13.2017 294 shrub","Phoridae",1
"414","4.13.2017 294 shrub","Thysanoptera",2
"415","4.15.2017 186 open","Heleomyzidae",1
"416","4.15.2017 186 open","Melyridae",19
"417","4.15.2017 186 open","Miridae",3
"418","4.15.2017 186 open","Mythicomyiidae",1
"419","4.15.2017 186 shrub","Cicadellidae",7
"420","4.15.2017 186 shrub","Curculionidae",1
"421","4.15.2017 186 shrub","destroyed",1
"422","4.15.2017 186 shrub","Formicidae",1
"423","4.15.2017 186 shrub","Lasioglossum",3
"424","4.15.2017 186 shrub","Melyridae",10
"425","4.15.2017 186 shrub","Miridae",1
"426","4.15.2017 186 shrub","Mythicomyiidae",4
"427","4.15.2017 186 shrub","Nymph",1
"428","4.15.2017 186 shrub","Thysanoptera",12
"429","4.15.2017 199 open","Cecidomyiidae",1
"430","4.15.2017 199 open","Chloropidae",1
"431","4.15.2017 199 open","Cicadellidae",7
"432","4.15.2017 199 open","Lasioglossum",1
"433","4.15.2017 199 open","Melyridae",10
"434","4.15.2017 199 open","Mythicomyiidae",4
"435","4.15.2017 199 open","Nymph",1
"436","4.15.2017 199 open","Pipunculidae",1
"437","4.15.2017 199 open","Thysanoptera",5
"438","4.15.2017 199 shrub","Berytidae",2
"439","4.15.2017 199 shrub","Cicadellidae",9
"440","4.15.2017 199 shrub","destroyed",1
"441","4.15.2017 199 shrub","Harpactorinae",1
"442","4.15.2017 199 shrub","Lasioglossum",1
"443","4.15.2017 199 shrub","Melyridae",9
"444","4.15.2017 199 shrub","Miridae",3
"445","4.15.2017 199 shrub","Mythicomyiidae",2
"446","4.15.2017 199 shrub","Nymph",3
"447","4.15.2017 199 shrub","Pompilidae",1
"448","4.15.2017 262 open","Asilidae",1
"449","4.15.2017 262 open","Cicadellidae",1
"450","4.15.2017 262 open","Heleomyzidae",2
"451","4.15.2017 262 open","Melyridae",30
"452","4.15.2017 262 open","Mythicomyiidae",2
"453","4.15.2017 262 open","Thysanoptera",4
"454","4.15.2017 262 shrub","Asilidae",2
"455","4.15.2017 262 shrub","Cicadellidae",4
"456","4.15.2017 262 shrub","Cysteodemus",1
"457","4.15.2017 262 shrub","Delphacidae",1
"458","4.15.2017 262 shrub","Heleomyzidae",14
"459","4.15.2017 262 shrub","Lasioglossum",1
"460","4.15.2017 262 shrub","Melyridae",12
"461","4.15.2017 262 shrub","Miridae",1
"462","4.15.2017 262 shrub","Mythicomyiidae",3
"463","4.15.2017 262 shrub","Nymph",1
"464","4.15.2017 262 shrub","Orthoptera",1
"465","4.15.2017 269 open","Buprestidae",1
"466","4.15.2017 269 open","Cicadellidae",2
"467","4.15.2017 269 open","Coccinellidae",1
"468","4.15.2017 269 open","Encrytidae",1
"469","4.15.2017 269 open","Heleomyzidae",1
"470","4.15.2017 269 open","Lygaeoidea",1
"471","4.15.2017 269 open","Melyridae",6
"472","4.15.2017 269 open","Mythicomyiidae",1
"473","4.15.2017 269 open","Nymph",1
"474","4.15.2017 269 open","Thysanoptera",3
"475","4.15.2017 269 shrub","Cercopidae",1
"476","4.15.2017 269 shrub","Chalcididae",1
"477","4.15.2017 269 shrub","Cicadellidae",5
"478","4.15.2017 269 shrub","Encrytidae",1
"479","4.15.2017 269 shrub","Eupelmidae",1
"480","4.15.2017 269 shrub","Eupeodesvolucris",2
"481","4.15.2017 269 shrub","Eupomphaelegans",1
"482","4.15.2017 269 shrub","Formicidae",1
"483","4.15.2017 269 shrub","Melyridae",3
"484","4.15.2017 269 shrub","Miridae",2
"485","4.15.2017 269 shrub","Mythicomyiidae",2
"486","4.15.2017 269 shrub","Nymph",1
"487","4.15.2017 269 shrub","Thysanoptera",2
"488","4.15.2017 276 open","Cercopidae",1
"489","4.15.2017 276 open","Cicadellidae",3
"490","4.15.2017 276 open","Melyridae",8
"491","4.15.2017 276 open","Mythicomyiidae",4
"492","4.15.2017 276 open","Phoridae",1
"493","4.15.2017 276 open","Rhopalidae",1
"494","4.15.2017 276 open","Thysanoptera",2
"495","4.15.2017 276 shrub","Cicadellidae",7
"496","4.15.2017 276 shrub","Formicidae",1
"497","4.15.2017 276 shrub","Lasioglossum",1
"498","4.15.2017 276 shrub","Melyridae",4
"499","4.15.2017 276 shrub","Miridae",1
"500","4.15.2017 276 shrub","Nymph",2
"501","4.15.2017 276 shrub","Sciaridae",1
"502","4.15.2017 276 shrub","Therevidae",1
"503","4.15.2017 276 shrub","Thysanoptera",1
"504","4.15.2017 300 open","Cicadellidae",2
"505","4.15.2017 300 open","Curculionidae",1
"506","4.15.2017 300 open","destroyed",1
"507","4.15.2017 300 open","Heleomyzidae",1
"508","4.15.2017 300 open","Lasioglossum",1
"509","4.15.2017 300 open","Melyridae",6
"510","4.15.2017 300 open","Miscophus",1
"511","4.15.2017 300 open","Muscidae",1
"512","4.15.2017 300 open","Mutillidae",1
"513","4.15.2017 300 open","Pteromalidae",1
"514","4.15.2017 300 shrub","Apismellifera",1
"515","4.15.2017 300 shrub","Cicadellidae",2
"516","4.15.2017 300 shrub","Delphacidae",1
"517","4.15.2017 300 shrub","destroyed",1
"518","4.15.2017 300 shrub","Eulophidae",1
"519","4.15.2017 300 shrub","Figitidae",1
"520","4.15.2017 300 shrub","Geocoridae",1
"521","4.15.2017 300 shrub","Melyridae",5
"522","4.15.2017 300 shrub","Miridae",1
"523","4.15.2017 300 shrub","Mythicomyiidae",2
"524","4.16.2017 146 open","Araneae",1
"525","4.16.2017 146 open","Cicadellidae",5
"526","4.16.2017 146 open","Encrytidae",1
"527","4.16.2017 146 open","Eupomphaelegans",1
"528","4.16.2017 146 open","Lasioglossum",1
"529","4.16.2017 146 open","Melyridae",13
"530","4.16.2017 146 open","Mythicomyiidae",1
"531","4.16.2017 146 open","Nymph",2
"532","4.16.2017 146 open","Pemphredoninae",1
"533","4.16.2017 146 open","Pteromalidae",1
"534","4.16.2017 146 shrub","Buprestidae",2
"535","4.16.2017 146 shrub","Cicadellidae",1
"536","4.16.2017 146 shrub","Lasioglossum",1
"537","4.16.2017 146 shrub","Melyridae",4
"538","4.16.2017 146 shrub","Miridae",1
"539","4.16.2017 146 shrub","Mythicomyiidae",1
"540","4.16.2017 188 open","Lasioglossum",2
"541","4.16.2017 188 open","Melyridae",13
"542","4.16.2017 188 open","Mythicomyiidae",1
"543","4.16.2017 188 open","Pteromalidae",1
"544","4.16.2017 188 shrub","Cecidomyiidae",1
"545","4.16.2017 188 shrub","Cicadellidae",3
"546","4.16.2017 188 shrub","Lasioglossum",2
"547","4.16.2017 188 shrub","Melyridae",1
"548","4.16.2017 188 shrub","Mythicomyiidae",1
"549","4.16.2017 188 shrub","Nymph",3
"550","4.16.2017 195 open","Asilidae",2
"551","4.16.2017 195 open","Buprestidae",1
"552","4.16.2017 195 open","Curculionidae",1
"553","4.16.2017 195 open","Eupeodesvolucris",1
"554","4.16.2017 195 open","Lasioglossum",1
"555","4.16.2017 195 open","Melyridae",29
"556","4.16.2017 195 open","Miridae",3
"557","4.16.2017 195 open","Mythicomyiidae",1
"558","4.16.2017 195 open","Pemphredoninae",2
"559","4.16.2017 195 shrub","Aphididae",1
"560","4.16.2017 195 shrub","Asilidae",1
"561","4.16.2017 195 shrub","Cicadellidae",2
"562","4.16.2017 195 shrub","Melyridae",7
"563","4.16.2017 195 shrub","Miridae",2
"564","4.16.2017 195 shrub","Mythicomyiidae",3
"565","4.16.2017 195 shrub","Nymph",1
"566","4.16.2017 195 shrub","Pteromalidae",1
"567","4.16.2017 268 open","Cicadellidae",3
